NCTNumber,Title,Acronym,Status,Conditions,Interventions,OutcomeMeasures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,FundedBys,StudyType,StudyDesigns,OtherIDs,StartDate,PrimaryCompletionDate,CompletionDate,FirstPosted,ResultsFirstPosted,LastUpdatePosted,Locations,Rank,StudyDocuments,StudyResults,URL
NCT03522545,Adjunctive Allogeneic Mesenchymal Stem Cells for Treatment-resistant Bipolar Depression,,Not yet recruiting,Treatment-resistant Bipolar Depression,Biological: Allogeneic Bone Marrow Derived Multipotent Mesenchymal Stromal Cells (MSCs)|Biological: Placebo,"Change in depression as assessed by the Montgomery-Åsberg Depression Rating Scale (MADRS)|Change in Functional impairment as assessed by the Functioning Assessment Short Test (FAST)|Change in Overall functioning in living as assessed by the Global Assessment of Functioning (GAF)|Change in Clinical Global Impression Scale for Bipolar lllness (CGI-BP), severity of mania subscale|Change in Clinical Global Impression Scale for Bipolar lllness (CGI-BP), severity of depression subscale|Change in Clinical Global Impression Scale for Bipolar lllness (CGI-BP), severity overall subscale|Change in neurocognition as assessed by the California Verbal Learning Test|Change in problem-solving ability as assessed by the Wisconsin Card Sorting Test (WCST)|Number of participants with inflammatory markers as assessed by multiplex biomarker analysis|Change in brain-derived neurotrophic factor (BDNF) level as assessed by enzyme-linked immunosorbent assay (ELISA)|Change in C-reactive protein (CRP) level as assessed by enzyme-linked immunosorbent assay (ELISA)|Number of participants with a change in brain activity between baseline and week 26 as assessed by Magnetic Resonance Imaging (MRI)|Number of participants who withdrawal due to Adverse Events (AEs)|Number of participants with suicidal ideation based on clinical assessment|Number of participants with treatment emergent mania or hypomania as assessed by the Young Mania Rating Scale (YMRS) and clinical assessment","The University of Texas Health Science Center, Houston",All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 1,30.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",HSC-MS-16-0657,"June 1, 2018","June 1, 2020","June 1, 2020","May 11, 2018",,"May 11, 2018","The University of Texas Health Science Center at Houston, Houston, Texas, United States",67,,No Results Available,https://ClinicalTrials.gov/show/NCT03522545
NCT02848131,Senescence in Chronic Kidney Disease,,"Active, not recruiting",Chronic Kidney Disease,Drug: Group 2: Dasatinib|Drug: Group 2: Quercetin,Change in Number of Senescent Cells|Change in Proportion of Senescent Mesenchymal Stem Cells Present|Change in Mesenchymal Stem Cell Function|Change in Frailty Index Score|Change in Kidney Function,Mayo Clinic,All,"40 Years to 80 Years   (Adult, Older Adult)",Phase 2,16.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,15-005843,July 2016,"June 2, 2019","June 2, 2020","July 28, 2016","June 26, 2019","June 26, 2019","Mayo Clinic in Rochester, Rochester, Minnesota, United States",68,"""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/31/NCT02848131/Prot_SAP_000.pdf",Has Results,https://ClinicalTrials.gov/show/NCT02848131
NCT02442817,Linagliptin and Mesenchymal Stem Cells: A Pilot Study,,Unknown status,Schizophrenia,Drug: Linagliptin,SDF1-α (stromal cell-derived factor alpha) Concentration|DPP-4 (Dipeptidyl peptidase-4) Activity|Monocyte State|Absolute/Differential leukocyte count|CD271+ cells,"University of Nevada, Reno|Augusta University",All,18 Years to 45 Years   (Adult),Phase 4,18.0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,LING-1,April 2015,April 2017,May 2017,"May 13, 2015",,"May 20, 2016","University of Nevada School of Medicine, Reno, Nevada, United States",69,,No Results Available,https://ClinicalTrials.gov/show/NCT02442817
NCT00498316,Cord Blood Expansion on Mesenchymal Stem Cells,,Completed,Myelodysplastic Syndrome|Leukemia,Procedure: Cord Blood Infusion|Drug: Busulfan|Drug: Fludarabine|Drug: Rituximab|Other: ATG|Drug: Cyclophosphamide|Drug: Clofarabine|Radiation: Total Body Irradiation (TBI)|Drug: Melphalan|Drug: Tacrolimus|Drug: Mycophenolate Mofetil|Drug: G-CSF,Engraftment and Time to Engraftment,M.D. Anderson Cancer Center|ViaCell|National Institutes of Health (NIH)|National Cancer Institute (NCI),All,"1 Year to 80 Years   (Child, Adult, Older Adult)",Phase 1,98.0,Other|Industry|NIH,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2005-0781|NCI-2011-02823|RP100469 02|1P01CA148600-01A1|5R01CA061508-20,July 2007,October 2016,October 2016,"July 10, 2007",,"October 31, 2016","University of Texas MD Anderson Cancer Center, Houston, Texas, United States",70,,No Results Available,https://ClinicalTrials.gov/show/NCT00498316
NCT02381366,Safety and Efficacy of PNEUMOSTEM® in Premature Infants at High Risk for Bronchopulmonary Dysplasia (BPD) - a US Study,,Completed,Bronchopulmonary Dysplasia,Biological: Human Umbilical Cord Blood Derived-Mesenchymal Stem Cells,Number of participants with adverse reactions for 84 days after treatment|Number of participants with adverse reactions between 84 days after treatment and 20 months of corrected age|Incidence of moderate/severe BPD or death at 36 weeks postmenstrual age (PMA)|Hospital Re-admission between 84 days after treatment until 20 months of corrected age|Bayley Scales of Infant and Toddler Development between 84 days after treatment until 20 months of corrected age,Medipost America Inc.|Medipost Co Ltd.,All,up to 14 Days   (Child),Phase 1|Phase 2,12.0,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,MD-BPD-US001,March 2015,September 2016,May 2018,"March 6, 2015",,"August 16, 2018","Rush University Medical Center, Chicago, Illinois, United States",71,,No Results Available,https://ClinicalTrials.gov/show/NCT02381366
NCT03925324,Serial Infusions of Allogeneic Mesenchymal Stem Cells in Cardiomyopathy Patients With Left Ventricular Assist Device,STEM-VAD,Recruiting,Ischemic Heart Disease|Non-ischemic Cardiomyopathy,Biological: Human Allogeneic Mesenchymal Bone Marrow Cells (aMBMC)|Other: Placebo,Temperature|Uncontrolled systemic infection|All-cause mortality|NK cell depletion|Change in the following cardiac biomarker|Change in RV systolic function|Hospitalizations due to right heart failure|6 minute walk distance changes|Gout flares,Rebecca Torguson|Medstar Health Research Institute,All,"18 Years and older   (Adult, Older Adult)",Phase 2,30.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",STEMVAD-001,"May 3, 2019",May 2021,June 2021,"April 24, 2019",,"August 5, 2019","MedStar Washington Hospital Center, Washington, District of Columbia, United States",72,,No Results Available,https://ClinicalTrials.gov/show/NCT03925324
NCT04040348,Alzheimer's Disease Stem Cells Multiple Infusions,,Recruiting,Alzheimer Disease,Biological: 100 million cells allogeneic hMSC|Biological: 200 million cells allogeneic hMSC,Number of Incidence of any Treatment-Emergent Serious Adverse Events (TE-SAEs)|Cognitive function over time as assessed by the Alzheimer's Disease Assessment Scale - Cognitive (ADAS-Cog 11)|Cognitive function over time as assessed by the Mini Mental State Examination (MMSE) of Folstein test|Depressive symptoms over time as assessed by the Geriatric Depression Scale (GDS) Short Version|Olfactory function over time as assessed by the Odor Identification test.|Participant quality of life over time assessed via Alzheimer's Disease Related Quality of Life (ADRQL-40) Questionnaire as completed by the caregiver|Participant quality of life over time as assessed via the Alzheimer's Disease Cooperative Study Activities of Daily Living (ADCS-ADL) Questionnaire as completed by the caregiver|Neuropsychiatric Inventory-Q (NPI-Q) Scores over time|Caregiver's Quality of life over time as assessed by the Caregiver Self-Assessment Questionnaire scores|Biomarker levels over time|Serum ApoE level over time|Serum PRA level over time|Serum Tau protein level over time|Cerebrospinal Fluid (CSF) Biomarker levels over time|CSF ApoE level over time|CSF PRA level over time|CSF Tau protein level over time|Change in hippocampal volume,Bernard (Barry) Baumel|University of Miami,All,"50 Years to 85 Years   (Adult, Older Adult)",Phase 1,10.0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care,20190438,"September 16, 2019","September 1, 2021","September 1, 2021","July 31, 2019",,"September 17, 2019","University of Miami, Miami, Florida, United States",73,,No Results Available,https://ClinicalTrials.gov/show/NCT04040348
NCT03158896,Evaluation of Umbilical Cord-Derived Wharton's Jelly Stem Cells for the Treatment of Acute Graft Versus Host Disease,,Recruiting,Acute Graft Versus Host Disease,Biological: MSCTC-0010 Dose Escalation,proportion of participants who have a TRSAE after infusion of MSCTC 0010|Proportion of participants who achieve a complete response (CR) of aGVHD by study day 42|Proportion of participants with improvement of GVHD in 1 or more organs involved with GVHD by day 42|Occurrence of addition of escalated immunosuppressive therapy by day 90|Occurrence of Formation of ectopic tissue foci at day 90,University of Kansas Medical Center,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 1,10.0,Other,Interventional,Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,IIT-2016-aGvHD-MSCTC-0010,"July 9, 2018",August 2020,August 2020,"May 18, 2017",,"August 28, 2019","Kansas University Cancer Center, Kansas City, Kansas, United States",74,,No Results Available,https://ClinicalTrials.gov/show/NCT03158896
NCT01087996,The Percutaneous Stem Cell Injection Delivery Effects on Neomyogenesis Pilot Study (The POSEIDON-Pilot Study),,Completed,Stem Cell Transplantation,Biological: Auto-hMSCs|Biological: Allo-hMSCs,"Incidence of TE-SAE Define as Composite of Death, Non-fatal MI, Stroke, Hospitalization for Worsening Heart Failure, Cardiac Perforation, Pericardial Tamponade, Ventricular Arrhythmias >15 Sec. or With Hemodynamic Compromise or Atrial Fibrillation|CT Infarct Size From Early Enhanced Defect: - Difference Between the Baseline and 13-month|CT Measure of Left Ventricular Ejection Fraction|CT Measure of End Diastolic Volume|CT Measure of End Systolic Volume|CT Measure of Scar Size as % of LV Mass|Change in Distance Walked in 6-minutes From Baseline.|Change in Minnesota Living With Heart Failure Total Score|Change in New York Heart Association Class at 12-months","University of Miami|National Heart, Lung, and Blood Institute (NHLBI)|The Emmes Company, LLC",All,"21 Years to 90 Years   (Adult, Older Adult)",Phase 1|Phase 2,31.0,Other|NIH|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,20090352|R01HL110737|R01HL107110|R01HL084275|P20HL101443|R01HL094849,March 2010,April 2011,October 2012,"March 16, 2010","May 27, 2015","May 27, 2015","University of Miami Miller School of Medicine, Miami, Florida, United States|Johns Hopkins University, Baltimore, Maryland, United States",75,,Has Results,https://ClinicalTrials.gov/show/NCT01087996
NCT03909139,BMAC Use With Labral Repair,,Recruiting,Acetabular Labrum Tear|Pincer Lesion|Femoro Acetabular Impingement|Chondral Defect|Bone Marrow Aspirate Concentrate|Mesenchymal Stem Cell,Biological: BMAC,Change in mHHS Surveys from preoperative to various postoperative timepoints|Progression of arthritis|Change HOS Surveys from preoperative to various postoperative timepoints|Change NAHS Surveys from preoperative to various postoperative timepoints|Change iHOT--33 Surveys from preoperative to various postoperative timepoints|Change LEFS Surveys from preoperative to various postoperative timepoints|Patient Satisfaction Questionnaires|Degree of Improvement on Hip Strength|Degree of Improvement on Hip Range of Motion (ROM)|Degree of Improvement on Hip VAS Pain Score,Massachusetts General Hospital,All,"18 Years and older   (Adult, Older Adult)",,40.0,Other,Observational,Observational Model: Case-Only|Time Perspective: Prospective,2017P001391/PHS,"June 26, 2017","June 30, 2019","June 30, 2019","April 9, 2019",,"April 9, 2019","MGH, Massachusetts General Hospital, Boston, Massachusetts, United States",76,,No Results Available,https://ClinicalTrials.gov/show/NCT03909139
NCT02958267,Investigation of Mesenchymal Stem Cell Therapy for the Treatment of Osteoarthritis of the Knee,,Completed,Knee Osteoarthritis,Biological: BMAC injection|Biological: PRP injection|Device: Gel-One® hyaluronate injection,Knee Injury and Osteoarthritis Outcome Score|Numeric Pain Rating Scale|Patient Reported Outcome Measurement Information System Global Health Scores,OhioHealth,All,"40 Years to 70 Years   (Adult, Older Adult)",Phase 2,32.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,OH1-16-00672,December 2016,August 2018,August 2018,"November 8, 2016","September 24, 2019","September 24, 2019","McConnell Spine, Sport, and Joint Physicians, Columbus, Ohio, United States",77,"""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/67/NCT02958267/Prot_SAP_000.pdf",Has Results,https://ClinicalTrials.gov/show/NCT02958267
NCT02962661,Trial With Mesenchymal Stromal Cells (MSCs) vs Standard of Care in Cardiomyopathy,,Not yet recruiting,Other Forms of Heart Disease,Biological: Intravenous Infusion of Human Mesenchymal Stem Cells (hMSCs)|Other: Routine Heart Failure Medical Therapy|Biological: Transendocardial Injections of Mesenchymal Stromal Cells,Number of Adverse Events of Allogeneic Human Mesenchymal Stem Cells (hMSCs) Administered by Intravenous Infusion and Transendocardial Injection|Improvement in Left Ventricular Systolic Function (LVEF) Assessed by Left Ventricular Ejection Fraction|Left Ventricular End-Systolic and End-Diastolic Volumes Determined by Contrast-Enhanced 3-D Echography,M.D. Anderson Cancer Center|Texas Medical Center,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 1,72.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2015-0835|NCI-2016-01921,"July 30, 2019","July 30, 2023","July 30, 2023","November 11, 2016",,"May 9, 2019","University of Texas MD Anderson Cancer Center, Houston, Texas, United States",78,,No Results Available,https://ClinicalTrials.gov/show/NCT02962661
NCT02107118,Stem Cells for the Improvement of Erectile and Cardiac Function in Aging Men,,Withdrawn,Erectile Dysfunction|Cardiac Disease,Biological: ARM 1: AdMSC: adipose stem cells|Other: ARM 2: Placebo,Improvements in IIEF scores of greater than 2|Improvements in RHI (reactive hyperemic index) scores of greater than 0.3,Baylor College of Medicine,Male,"40 Years and older   (Adult, Older Adult)",Phase 1,0.0,Other,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,H-34570 No.11-13-40-07,May 2015,March 2020,February 2022,"April 8, 2014",,"May 25, 2015","Baylor College of Medicine, Houston, Texas, United States",79,,No Results Available,https://ClinicalTrials.gov/show/NCT02107118
NCT03799718,Safety and Efficacy of Repeated Administration of NurOwn (MSC-NTF Cells) in Participants With Progressive MS,,Recruiting,"Multiple Sclerosis, Chronic Progressive",Biological: NurOwn (MSC-NTF cells),Incidence of treatment-emergent adverse events|Timed 25-foot walking speed or 9-Hole Peg Test - change from baseline.|Number of participants with changes in neurotrophic factors (such as Vascular endothelial growth factor and Hepatocyte growth factor) in the cerebrospinal fluid (CSF) following NurOwn® transplantation,Brainstorm-Cell Therapeutics,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 2,20.0,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,BCT-101-US,"March 13, 2019",February 2020,September 2020,"January 10, 2019",,"July 23, 2019","Stanford University School of Medicine, Redwood City, California, United States|Cleveland Clinic, Cleveland, Ohio, United States",80,,No Results Available,https://ClinicalTrials.gov/show/NCT03799718
NCT01409954,Collecting Bone Graft During Spinal Decompression and Posterolateral Lumbar Fusion to Better Define Bone Making Cells,,Enrolling by invitation,Pseudarthrosis After Fusion or Arthrodesis,,Osteogenic Potential of Mesenchymal Stem Cells,University of Utah,All,"18 Years and older   (Adult, Older Adult)",,60.0,Other,Observational,Observational Model: Case-Only|Time Perspective: Prospective,46970,October 2011,January 2021,January 2021,"August 4, 2011",,"July 24, 2019","University of Utah Orthopaedic Center, Salt Lake City, Utah, United States",81,,No Results Available,https://ClinicalTrials.gov/show/NCT01409954
NCT03186417,Mesenchymal Stem Cells in Early Rheumatoid Arthritis,,Recruiting,Rheumatoid Arthritis,Biological: 2 million hMSC/kg|Biological: 4 million hMSC/kg|Biological: 6 million hMSC/kg|Biological: placebo,Safety assessed by dose limiting toxicity (DLT)|Safety assessed by dose limiting toxicity|Safety assessed by change in spirometry|Safety assessed by all adverse events|Change in patient reported outcomes|DAS28-CRP,MetroHealth Medical Center|National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS),All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 1,20.0,Other|NIH,Interventional,"Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",IRB16-00587|R21AR069226,"December 15, 2017","December 31, 2020","December 31, 2020","June 14, 2017",,"July 10, 2019","UH Hospitals Cleveland, Cleveland, Ohio, United States|MetroHealth Medical Center, Cleveland, Ohio, United States",82,,No Results Available,https://ClinicalTrials.gov/show/NCT03186417
NCT03925649,Individual Patient Expanded Access IND of Hope Biosciences Autologous Adipose-derived Mesenchymal Stem Cells for Treatment of SCI,,No longer available,Spinal Cord Injury at C5-C7 Level,Drug: HB-adMSCs,,"Hope Biosciences|The University of Texas Health Science Center, Houston",Male,"18 Years and older   (Adult, Older Adult)",,,Industry|Other,Expanded Access:Individual Patients|Intermediate-size Population|Treatment IND/Protocol,,Spinal Cord Injury(SCI),,,,"April 24, 2019",,"September 25, 2019","Memorial Hermann Hospital-Clinical Research Unit (MMH-CRU), Houston, Texas, United States",83,,No Results Available,https://ClinicalTrials.gov/show/NCT03925649
NCT03325322,Inflammation and Stem Cells in Diabetic and Chronic Kidney Disease,,Recruiting,Chronic Kidney Diseases|Diabetes Mellitus|Diabetic Nephropathies,Dietary Supplement: Fisetin|Drug: Placebo oral capsule,Change in inflammatory markers including C-reactive protein|Effect on Mesenchymal stem cell function including cell migration|Effect on measures of Frailty including Fried Criteria|Kidney function including estimated glomerular filtration rate|Kidney function including urine protein excretion rate|Number of participants with treatment-related adverse events including hospitalization|Mesenchymal stem cells in vitro including cell migration|Mesenchymal stem cells -molecular characteristics examined by second generation sequencing,Mayo Clinic,All,"40 Years to 80 Years   (Adult, Older Adult)",Phase 2,30.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",16-010521,"January 2, 2018",January 2021,April 2022,"October 30, 2017",,"September 17, 2018","Mayo Clinic in Rochester, Rochester, Minnesota, United States",84,,No Results Available,https://ClinicalTrials.gov/show/NCT03325322
NCT03672825,REcycled CartiLage Auto/Allo IMplantation,,Recruiting,Cartilage Defect,Drug: REcycled CartiLage Auto/Allo IMplantation,"Nature, incidence and severity of adverse events (AEs)",Mayo Clinic,All,18 Years to 50 Years   (Adult),Phase 1,25.0,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,18-000939,"September 13, 2018","September 13, 2022","September 13, 2022","September 17, 2018",,"October 11, 2019","Mayo Clinic in Rochester, Rochester, Minnesota, United States",85,,No Results Available,https://ClinicalTrials.gov/show/NCT03672825
NCT01033552,"Biochemical Correction of Severe EB by Allo HSCT and ""Off-the-shelf"" MSCs",,Recruiting,Epidermolysis Bullosa,Drug: Cyclophosphamide|Drug: Fludarabine|Drug: Anti-thymocyte globulin|Drug: Cyclosporine A|Drug: Mycophenolate mofetil|Procedure: Mesenchymal stem cell transplantation|Radiation: Total body irradiation|Procedure: Bone marrow or umbilical cord blood (UCG) stem cell transplantation,Event-free survival rate|Transplant-related mortality (TRM)|Pattern of biochemical improvement|Quality of Life|Durability of HSC and third party MSC engraftment in the skin|Probability of Survival|Acute GVHD,"Masonic Cancer Center, University of Minnesota",All,"up to 25 Years   (Child, Adult)",Phase 2,75.0,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,MT2009-09|0911M74035,January 2010,October 2019,October 2019,"December 16, 2009",,"September 25, 2019","University of Minnesota Masonic Cancer Center and Medical Center, Minneapolis, Minnesota, United States",86,,No Results Available,https://ClinicalTrials.gov/show/NCT01033552
NCT01775774,Human Mesenchymal Stem Cells For Acute Respiratory Distress Syndrome,START,Completed,Acute Respiratory Distress Syndrome,Biological: Allogeneic Bone Marrow-Derived Human Mesenchymal Stem Cells,Incidence of Pre-specified Infusion Associated Adverse Events|Incidence of Severe Adverse Events (SAEs)|Ventilator Free Days at Study Day 28|Duration of Vasopressor Use (Days)|ICU Free Days to Day 28|Hospital Survival to Day 60|Mortality at Hospital Discharge,"Michael A. Matthay|National Heart, Lung, and Blood Institute (NHLBI)|Massachusetts General Hospital|Stanford University|University of Pittsburgh|University of Minnesota - Clinical and Translational Science Institute|University of California, San Francisco",All,"18 Years and older   (Adult, Older Adult)",Phase 1,9.0,Other|NIH,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,ARDS MSC 001|1U01HL108713-01,July 2013,February 2014,February 2015,"January 25, 2013","August 14, 2017","August 14, 2017","University of California San Francisco Medical Center, San Francisco, California, United States|Stanford University Medical Center, Stanford, California, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, United States",87,,Has Results,https://ClinicalTrials.gov/show/NCT01775774
NCT01733186,"Evaluation of Safety and Exploratory Efficacy of CARTISTEM®, a Cell Therapy Product for Articular Cartilage Defects",,Completed,Degeneration Articular Cartilage Knee,Biological: CARTISTEM®,Number of adverse events|Improvement in IKDC score|Improvement in knee function and pain and grade of cartilage regeneration,Medipost Co Ltd.,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,12.0,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,MP-0201-01,"January 7, 2013","June 2, 2017","August 29, 2017","November 26, 2012",,"August 29, 2018","Cartilage Restoration Center; RUSH University Medical Center, Chicago, Illinois, United States|Cartilage Repair Center; Brigham and Women's Hospital, Chestnut Hill, Massachusetts, United States",88,,No Results Available,https://ClinicalTrials.gov/show/NCT01733186
NCT01392625,PercutaneOus StEm Cell Injection Delivery Effects On Neomyogenesis in Dilated CardioMyopathy (The POSEIDON-DCM Study),PoseidonDCM,Completed,Non-ischemic Dilated Cardiomyopathy,Biological: Autologous hMSCs|Biological: Allogeneic hMSCs,Incidence of Any Treatment-emergent Serious Adverse Events (TE-SAEs)|Measurement of Changes in Peak VO2|Measurement of Changes in 6 Minute Walk|Measurement of Changes in Global Ejection Fraction|Measurement of Changes in New York Heart Association (NYHA)|Measurement of Changes in Minnesota Living With Heart Failure (MLHF) Questionnaire,"Joshua M Hare|National Heart, Lung, and Blood Institute (NHLBI)|University of Miami",All,"18 Years to 95 Years   (Adult, Older Adult)",Phase 1|Phase 2,37.0,Other|NIH,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,20100968|1R01HL110737-01,"May 19, 2011","August 28, 2016","August 28, 2017","July 12, 2011","February 15, 2018","February 15, 2018","University of Miami School of Medicine, Miami, Florida, United States",89,,Has Results,https://ClinicalTrials.gov/show/NCT01392625
NCT00284986,Safety and Efficacy of Prochymal for the Salvage of Treatment-Refractory Acute GVHD Patients,,Completed,Graft Versus Host Disease,Drug: Prochymal (TM),Primary efficacy endpoint|- Response by Day 28|Secondary efficacy endpoints|Improvement of GVHD by day 28 in one or more organs|involved with GVHD symptoms at day 1|Time to best overall GVHD grade|Best stage of each involved organ by day 28|Time to improvement or resolution of GVHD in one or|more organs|Safety Endpoints|Adverse events|Infusional toxicity|Overall relapse of underlying disease|Overall survival|Formation of ectopic tissue foci|Incidence of infection,"Mesoblast International Sàrl|Mesoblast, Ltd.",All,"6 Months to 70 Years   (Child, Adult, Older Adult)",Phase 2,15.0,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Osiris 270,November 2005,February 2007,February 2007,"February 1, 2006",,"December 4, 2014","Duke University, Durham, North Carolina, United States",90,,No Results Available,https://ClinicalTrials.gov/show/NCT00284986
NCT03754465,Clinical Study of ALLO-ASC-SHEET in Subjects With Diabetic Foot Ulcers,,Recruiting,Diabetic Foot Ulcer,Biological: ALLO-ASC-DFU|Procedure: Hydrogel SHEET(Vehicle control),"Proportions of subjects who achieved complete wound closure|Time to initial complete wound closure between the two groups|Changes in wound size compared to baseline between the two groups|Proportions of subjects who achieved complete wound closure by the classification of location of diabetic foot ulcer, Plantar and the other location between the two groups|Durability of complete wound closure","Anterogen Co., Ltd.",All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 2,44.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",ALLO-ASC-SHEET-102,November 2018,December 2019,March 2020,"November 27, 2018",,"November 27, 2018","University of Southern California, Los Angeles, California, United States",91,,No Results Available,https://ClinicalTrials.gov/show/NCT03754465
NCT02582775,MT2015-20: Biochemical Correction of Severe EB by Allo HSCT and Serial Donor MSCs,,Recruiting,Epidermolysis Bullosa,Drug: Thymoglobulin|Drug: Cyclophosphamide|Drug: Fludarabine|Radiation: Total Body Irradiation|Procedure: Bone marrow infusion|Drug: Tacrolimus|Drug: Mycophenolate Mofetil|Biological: Donor mesenchymal stem cell infusions|Drug: Busulfan,Event-free survival|Percentage change of a patient's iscorEB|Transplant-related mortality|Quality of life|Lymphoid Chimerism|Myeloid Chimerism,"Masonic Cancer Center, University of Minnesota",All,"up to 25 Years   (Child, Adult)",Phase 2,84.0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2015LS076,March 2016,September 2021,September 2022,"October 21, 2015",,"March 29, 2019","University of Minnesota Masonic Cancer Center and Medical Center, Minneapolis, Minnesota, United States",92,,No Results Available,https://ClinicalTrials.gov/show/NCT02582775
NCT00294112,Prochymal™ Adult Human Mesenchymal Stem Cells for Treatment of Moderate-to-severe Crohn's Disease,,Completed,Crohn's Disease,Drug: Prochymal™ adult human mesenchymal stem cells|Drug: adult human mesenchymal stem cells,Crohn's disease activity index|Inflammatory bowel disease quality-of-life questionnaire|Crohn's disease endoscopic index of severity|Crohn's remission,"Mesoblast International Sàrl|Mesoblast, Ltd.",All,"18 Years to 70 Years   (Adult, Older Adult)",Phase 2,10.0,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,OSIRIS-601-602,February 2006,August 2006,September 2008,"February 20, 2006",,"December 4, 2014","Osiris Clinical Site, Baton Rouge, Louisiana, United States|Osiris Clinical Site, Charlotte, North Carolina, United States|Osiris Clinical Site, Pittsburgh, Pennsylvania, United States|Osiris Clinical Site, Richmond, Virginia, United States",93,,No Results Available,https://ClinicalTrials.gov/show/NCT00294112
NCT02600130,Allogeneic Human Mesenchymal Stem Cell Infusion Versus Placebo in Patients With Alzheimer's Disease,,Recruiting,Alzheimer's Disease,Biological: Longeveron Mesenchymal Stem Cells|Biological: Placebo,To demonstrate the safety of LMSCs administered to subjects with Alzheimer's disease.|Preliminary efficacy will be determined by examining for changes in AD status and rate decline as assessed by the following.,Longeveron LLC,All,"50 Years to 80 Years   (Adult, Older Adult)",Phase 1,30.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",00-0000-01,August 2016,March 2020,March 2020,"November 9, 2015",,"December 17, 2018","UCLA School of Medicine, Los Angeles, California, United States|Brain Matters Research, Delray Beach, Florida, United States|University of Miami Miller School of Medicine, Miami, Florida, United States|Miami Jewish Health, Miami, Florida, United States",94,,No Results Available,https://ClinicalTrials.gov/show/NCT02600130
